;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68
1;0;0;1;0;0;0;19;10;0;2;0;0;0;47;0;0;1;0;1;0;0;0;4;0;0;0;0;0;33;16;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;14;0;0;0;2;0;0;2;0;0;0;0;0;34;0;7;29;1;33;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;8;0;10;0;0;0;0;0;0;0
3;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;32;0;1;0;0;0;45;0;0;22;27;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;1;0;0;0;14;6;0;13;0;0;2;0;0;0;0;57;0;0;0;43;0;0;0;11;0;0;0;0;0;0;0;0;0;17;0;0;0;0;3;3;0;4;0;0;0;0;0;0;0;12;0;0;0;4;0;0;0;3;0;0;0;0;0;0
5;0;0;0;1;0;17;0;2;18;0;1;6;0;0;61;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;17;0;3;71;1;36;3;48;0;5;44;0;0;0;0;4;0;0;0;0;0;0;0;1;6;0;0;8;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;19;0;1;0;0;3;0;9;0;29;2;0;0;21;0;0;0;0;1;0;2;0;3;2;0;0;0;57;11;25;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;10;0;0;0;2;71;9;0;0;22;1;4;0;59;3;0;0;0;0;1;0;0;1;0;0;0;0;0;4;1;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;14;0;14;18;1;0;0;0;0;0;15;2;0;10;1;0;0;0;8;0;24;0;46;12;0;3;2;0;0;0;3;0;0;0;1;0;2;0;0;0;0;69;0;0;1;0;0;0;0;0;0;0;2;0;11;0;12;0;0;0;2;0;0;0;0;0;0
10;2;0;0;6;0;36;29;22;0;0;4;15;0;13;0;0;0;1;2;16;0;0;0;1;0;0;0;11;9;0;0;0;0;10;0;0;0;1;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;1;0;0;0;0;0;0
