,count_steps,num_kills,total_weight,path_length,exp_num,mean_edges_importance,std_edges_importance 
,1,0,6409.82500541,0.100492283518,0,2457.52941286,3500.16449002
,2,0,6254.60438409,0.103489486916,0,2347.20135627,3390.84743716
,3,0,6151.06683713,0.104949909067,0,2274.43702196,3376.62872323
,4,0,6038.2606979,0.105478458413,0,2193.19088184,3322.53280598
,5,0,5939.23223063,0.10741552151,0,2125.1631705,3328.11896925
,6,0,5836.22116101,0.109618584588,0,2067.26481879,3337.34925122
,7,0,5741.74306399,0.111027294021,0,1999.75267859,3339.27381884
,8,0,5636.51318824,0.113328257271,0,1933.20287551,3295.51265194
,9,1,5548.76273286,0.114879658823,0,1886.77612085,3306.26157077
,10,0,0,0,0,0,0
,1,0,6396.87500846,0.0992499164996,1,2461.87978943,3517.19844588
,2,0,6278.86159319,0.101358999112,1,2371.00139128,3515.09817935
,3,0,6181.74317661,0.10492907454,1,2300.56794947,3522.22150949
,4,0,6070.88395053,0.106582852646,1,2221.25207106,3495.73950562
,5,0,5972.42149609,0.108548663487,1,2158.00260431,3548.55334096
,6,1,5901.54792127,0.109013982453,1,2119.35907183,3598.74873025
,7,0,5786.28609771,0.111460962838,1,2044.75102976,3600.0432425
,8,0,5692.30431852,0.114353581896,1,1984.34127058,3581.6660498
,9,0,5569.25729507,0.116578048951,1,1905.36546198,3523.40970563
,10,0,0,0,1,0,0
,1,0,6390.04999447,0.101522204895,2,2454.89608173,3507.75415647
,2,0,6274.57625669,0.102049930786,2,2379.47728881,3473.71952486
,3,0,6158.40540373,0.104026909184,2,2297.39645764,3469.51541876
,4,0,6008.60426679,0.106632793772,2,2188.8908119,3371.44062938
,5,0,5890.19990981,0.110657440962,2,2099.81634687,3296.01594876
,6,0,5799.26937824,0.11220153565,2,2047.8086456,3323.69117582
,7,0,5697.50625482,0.113582396862,2,1983.16411228,3294.14084387
,8,0,5592.46035153,0.116658726229,2,1915.52118848,3275.02272536
,9,2,5525.74540257,0.117665593463,2,1881.95645746,3319.75631471
,10,0,0,0,2,0,0
,1,0,6405.10002184,0.100217625255,3,2463.68735317,3484.19143693
,2,0,6299.58598134,0.101765614896,3,2382.47207577,3481.8587972
,3,0,6193.57414374,0.105556270837,3,2305.48432988,3473.45950224
,4,0,6095.0173569,0.106190888164,3,2238.7601655,3508.94501421
,5,0,6005.55917943,0.106680918923,3,2177.18869408,3475.60114725
,6,0,5930.95136079,0.107796988317,3,2130.02372971,3508.07288726
,7,0,5831.58644953,0.108881762077,3,2065.17336414,3468.20860209
,8,1,5736.87584224,0.110177342171,3,2011.43007141,3482.20482661
,9,1,5635.11443263,0.112958537631,3,1950.05465401,3427.74986309
